Date,Tweet,Label
25/11/2019 0:10,"@Manuel21160307 @eavfch @JDrestrepoU @alexdavidg19 @petrogustavo Argumentos??? muestreme a su dios politico hablando de los policias muertos, el atentado en Santander.... por que no llego al voto en la JEP para favorecer a los ninos victimas de las FARC. Aqui no hay un debate por que usted sabe que es verdad, quiere defender lo indefendible.",2
25/11/2019 0:09,"Con la constituyente arruinan el acuerdo de paz y la JEP, asi de simple",0
25/11/2019 0:09,@herbinhoyos @Registraduria @JEP_Colombia Muy buena noticia,1
25/11/2019 0:08,"Seamos serios: en un sistema democratico, con separacion de poderes, no es el Presidente Duque y su Gobierno el unico responsable: si vamos a dialogar, es hora de llamar a cuentas al Congreso, y sobre todo, al poder judicial JEP incluida. Los ciudadanos exigimos que trabajen bien",0
25/11/2019 0:06,Si podria hay dos maneras El aguila destruya la JEP. Queme todo para hacer la guerra para ello le pediria que uribismo haga la constituyente. Ataque a Venezuela y queme todo. Nos derriten y absorban.,2
25/11/2019 0:06,"@elespectador Que cinismo el de Santos , ya ni vive en Colombia, extendio la guerrilla por todo el pais , les dio el monton de Curules a asesinos , eso es lo que queria y mayor presupuesto a la JEP ;",2
25/11/2019 0:05,"Convocar Asamble aconstituyente es necesaria, seria complementar el acuerdo de la esperanza, incluirlo y blindarlo con nuestra Constitucion, ese era uno de las promesa que dio Santos, la reforma agraria, desmovilizacion de grupos, proteger JEP me parece acertado. https://t.co/PSTywgR0l8",1
25/11/2019 0:05,"@QuinteroCalle no jodas q usted sabe y todos sabemos q lo q necesita Uribe para salvarse y acabar la JEP es una constituyente, no nos diga q usted nos salio paquete chileno",2
25/11/2019 0:01,"@GustavoBolivar Si les dan papaya, lo primero que hacen es acabar con el acuerdo de paz y la Jep",0
25/11/2019 0:00,"No sean locos, una constituyente es entregarle la JEP al Uribismo, entregar lo que hemos ganado en derechos a las elites y entregar el futuro a la clase politica. Se acaba el poquito pais que hay. #RENUNCIEIVANDUQUE #24nParoNacional #24NElParoSigue",2
25/11/2019 0:00,"Todo lo que has amado, sentenciaron, ha muerto. No quedo ni la sombra, se acabo para siempre. JEP",2
