Date,Tweet,Label
24/11/2019 14:28:00,@_mandarinita Sali en noticias uno... mi mama no me habla desde ese dia... porque dije que la jep era importante,1
24/11/2019 14:28:00,@_mandarinita Sali en noticias uno... mi mama no me habla desde ese dia... porque dije que la jep era importante,1
24/11/2019 17:56:00,"@Ana_Trina Contratar a personal competente, demostrado, para cancilleria, embajadas y consulados. Pedir la renuncia de todo su gabinete de ministros. Nombrar gente capacitada. Cumplir el acuerdo de paz integro. Dejar funcionar la JEP.",1
16/02/2020 16:08:00,@CooperativaJEP Gracias JEP por tan buenos consejos,1
16/02/2020 17:18:00,@CooperativaJEP Mi estimada JEP reduciendo los altos niveles de sonido,1
16/02/2020 14:08:00,"@elheraldoco @AdrianaLucia Una triste realidad que no se puede repetir, hoy exigimos la verdad, justicia y reparacion para esta poblacion, firmes con la JEP, en Colombia los buenos somos mas.",1
25/11/2019 0:09:00,@herbinhoyos @Registraduria @JEP_Colombia Muy buena noticia,1
24/11/2019 3:22:00,@HiClavero Ver a Jep contento me transmite felicidad,1
24/11/2019 23:21:00,"@IvanDuque 1. Accion contundente para detener masacre de lideres sociales con verificacion de @MisionONUCol 2. Implementar seriamente JEP y #acuerdodepaz 3. Parar en seco la corrupcion, implementando #PliegosTipo para todo tipo de licitaciones de entes territoriales @colombiacompra",1
24/11/2019 18:46:00,@IvanDuque Queremos la Paz! Implementacion de los acuerdos de Paz! @JEP_Colombia PAZ PARA COLOMBIA NO AL PORTE Y TENENCIA DE ARMAS LEY 2362 #PAZ #Paz #paz,1
24/11/2019 19:16:00,@JEP_Colombia Todo mi respeto y admiracion para los magistrados. Los secretarios de sala y toodaa las personas que trabajan por la paz de este sufrido pais,1
24/11/2019 0:32:00,"@jhenao0123 @anacrisrestrepo @PartidoFARC @Carlozada_FARC Ya veo, el problema es que nosotros seguramente no tenemos referentes y por lo tanto tenemos que aceptar que gente como usted siga con la venganza eterna para obtener la justicia, le tengo una noticia, para eso existe la JEP, asi que vaya e informese de los mecanismos existentes",1
24/11/2019 15:33:00,"@JorgeIvanOspina @IvanDuque Hay muchas propuestas muy buenas recogidas aqui, pero lo ideal seria decirle al Presidente q CAMBIE EL TONO! Que cambie su discurso: contra la JEP, ministro corrupto en la economia, fracking, glifosato, pol.intern no colombiana, sin respuesta al asesinato de lideres sociales, etc",1
24/11/2019 16:31:00,@JorgeIvanOspina @IvanDuque La propuesta es: 1. Respetar acuerdos de Paz 2. Apto a la JEP 3. Iniciar dialogo con ELN 4. La reforma laboral no puede ir en detrimento de condiciones de trabajadores: no a pago inferior al salario minimo en ningun caso. (para estudiantes ni para nadie).,1
16/02/2020 19:11:00,"@juancho27477177 @JairoRRoaS @arnoldo51 @AlegreBengali @JOSEOBDULIO Otra vez, senor entienda, hay un JEP se estan investigando, algunos de los que se acogieron al proceso le sirven al pais, si el ejercito mata un excombatiente, si no se protege a estos se esta violando el debido proceso.",1
